##FastQC	0.11.7
>>Basic Statistics	pass
#Measure	Value
Filename	ERR458501.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1870525
Sequences flagged as poor quality	0
Sequence length	51
%GC	42
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.40778658398043	31.0	30.0	31.0	27.0	34.0
2	28.28642600339477	31.0	27.0	31.0	16.0	34.0
3	27.141928068323065	31.0	25.0	31.0	16.0	34.0
4	30.567173387150667	35.0	28.0	37.0	19.0	37.0
5	33.149876638911536	35.0	32.0	37.0	28.0	37.0
6	34.32934015851165	35.0	33.0	37.0	31.0	37.0
7	34.832566792745354	35.0	35.0	37.0	32.0	37.0
8	34.95977706793547	35.0	35.0	37.0	32.0	37.0
9	36.6047008192887	39.0	35.0	39.0	32.0	39.0
10	36.7125972654736	39.0	35.0	39.0	32.0	39.0
11	36.66298445623555	39.0	35.0	39.0	32.0	39.0
12	36.61740046243702	39.0	35.0	39.0	32.0	39.0
13	36.61273653118777	38.0	35.0	39.0	32.0	39.0
14	37.74669036767752	40.0	36.0	41.0	32.0	41.0
15	37.757467021290815	40.0	36.0	41.0	32.0	41.0
16	37.70667486400877	39.0	36.0	41.0	32.0	41.0
17	37.58246588524612	39.0	36.0	41.0	32.0	41.0
18	37.62106788201174	39.0	36.0	41.0	32.0	41.0
19	37.64403790379706	39.0	36.0	41.0	32.0	41.0
20	37.63137301025113	39.0	36.0	41.0	32.0	41.0
21	37.463673567581296	39.0	36.0	41.0	32.0	41.0
22	37.51663570387993	39.0	36.0	40.0	32.0	41.0
23	37.420352040202616	39.0	36.0	40.0	32.0	41.0
24	37.54177944694671	39.0	36.0	41.0	32.0	41.0
25	37.50178051616525	39.0	36.0	41.0	32.0	41.0
26	37.36182301760201	39.0	36.0	41.0	32.0	41.0
27	37.3721265420136	39.0	36.0	41.0	32.0	41.0
28	37.352543269937584	39.0	36.0	40.0	31.0	41.0
29	37.308981168388556	39.0	36.0	40.0	31.0	41.0
30	37.21880701941968	39.0	36.0	40.0	31.0	41.0
31	37.155779259833466	39.0	36.0	40.0	31.0	41.0
32	37.13114874166344	39.0	36.0	40.0	31.0	41.0
33	37.08483126394996	39.0	36.0	40.0	31.0	41.0
34	37.04587909811416	39.0	36.0	40.0	31.0	41.0
35	37.00083078280162	39.0	36.0	40.0	30.0	41.0
36	36.92969834672084	39.0	36.0	40.0	30.0	41.0
37	36.8734382058513	39.0	36.0	40.0	30.0	41.0
38	36.831181620133385	39.0	35.0	40.0	30.0	41.0
39	36.72485050988359	39.0	35.0	40.0	30.0	41.0
40	36.66770879833202	39.0	35.0	40.0	30.0	41.0
41	36.594242792798816	38.0	35.0	40.0	30.0	41.0
42	36.49406503521739	38.0	35.0	40.0	30.0	41.0
43	36.65426016760001	39.0	35.0	40.0	30.0	41.0
44	36.67231231873404	39.0	35.0	40.0	30.0	41.0
45	36.66198366768688	39.0	35.0	40.0	30.0	41.0
46	36.62633912938881	39.0	35.0	40.0	30.0	41.0
47	36.52727015142808	39.0	35.0	40.0	30.0	41.0
48	36.43173761377153	39.0	35.0	40.0	30.0	41.0
49	36.28475374560618	39.0	35.0	40.0	30.0	41.0
50	36.100551449459374	39.0	35.0	40.0	30.0	41.0
51	35.16527445503268	38.0	34.0	40.0	28.0	41.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	1.229311721169882
1101	2	3.4823592603263798
1101	3	3.252436484111495
1101	4	4.71404345840666
1101	5	2.2343916795648013
1101	6	1.251675329923323
1101	7	0.805953834006722
1101	8	0.5965854043731227
1101	9	0.6807913267481851
1101	10	0.46121348689368347
1101	11	0.6031763734919977
1101	12	0.6068190160483127
1101	13	0.6809756210408864
1101	14	0.7236908443627996
1101	15	0.706902909492058
1101	16	0.5458500534372916
1101	17	0.5050348106724059
1101	18	0.6234593066270051
1101	19	0.6154116097368885
1101	20	0.6555608655580016
1101	21	0.8091652701882452
1101	22	0.7521888561155734
1101	23	0.5378740584616111
1101	24	0.493660404252644
1101	25	0.47270579045839156
1101	26	0.5536333082187852
1101	27	0.5097064243195462
1101	28	0.41149225437713
1101	29	0.317025481499698
1101	30	0.2066387529083613
1101	31	0.49083067120771773
1101	32	0.40919194577951856
1101	33	0.37197724596597936
1101	34	0.38329552504053055
1101	35	0.32627063624075703
1101	36	0.30834638486469856
1101	37	0.3558979083855931
1101	38	0.3453089143882906
1101	39	0.24174070688616922
1101	40	0.27338280327271036
1101	41	0.34072323327341536
1101	42	0.30633119942314124
1101	43	0.1823030571623434
1101	44	0.2012854814162992
1101	45	0.2783727856998439
1101	46	0.5357380561646821
1101	47	0.4964420248823629
1101	48	0.3768855313761108
1101	49	0.36804833239354195
1101	50	0.5538084722900507
1101	51	0.8003803215476424
1102	1	0.04717322321653583
1102	2	3.037728433101531
1102	3	-1.2913802343677112
1102	4	-2.338162171065118
1102	5	-0.8197754647662805
1102	6	-0.2253200710113319
1102	7	0.018316266656036362
1102	8	0.26057167124029945
1102	9	0.25517379095707327
1102	10	0.2476658845442472
1102	11	0.43635025120541115
1102	12	0.27534365678847905
1102	13	0.3291391137680222
1102	14	0.37618450547507365
1102	15	0.413218110684312
1102	16	0.43676175745169843
1102	17	0.1415590265722244
1102	18	0.2831179339206358
1102	19	0.3725011330390444
1102	20	0.3199959964830086
1102	21	0.5491992236985723
1102	22	0.4071717107729711
1102	23	0.2054394366706731
1102	24	0.266153340438926
1102	25	0.37745220123180445
1102	26	0.3751392492401493
1102	27	0.31699707243710407
1102	28	0.15577882605039406
1102	29	0.06189030809066054
1102	30	0.18599859268286423
1102	31	0.21754705992989187
1102	32	0.29204769899448024
1102	33	0.196307026599996
1102	34	0.23013762941639015
1102	35	0.06347779985824076
1102	36	0.17834818875030578
1102	37	0.06008511462197674
1102	38	0.14927881141507982
1102	39	0.18203883691428757
1102	40	0.23800388614355228
1102	41	0.31011028306065924
1102	42	0.3366811532301881
1102	43	0.22216808605823246
1102	44	0.2709057719261736
1102	45	0.2760892688309866
1102	46	0.25201340328622024
1102	47	0.1944601952365943
1102	48	0.20770087081006494
1102	49	0.3294447590141729
1102	50	0.19158866461459922
1102	51	0.5090468960531709
1103	1	-0.0991197418262253
1103	2	-0.2646497992156611
1103	3	0.03333994740281909
1103	4	0.1288786891389897
1103	5	0.007388339896550633
1103	6	-0.02135592641928241
1103	7	0.057323144116132596
1103	8	0.03177208444766677
1103	9	0.005928326951149643
1103	10	-0.15017113771653356
1103	11	0.029364400504562127
1103	12	0.05055783000480574
1103	13	-0.061229897714760284
1103	14	0.06815571326698233
1103	15	0.07000257368011376
1103	16	-0.03409694547408293
1103	17	0.19313539742075392
1103	18	0.0673595686341244
1103	19	0.23017511140672298
1103	20	0.41071613245469507
1103	21	0.34856643630445205
1103	22	0.3263800013819207
1103	23	0.33649690658973697
